File	Component_MembraneAverage_S11	Component_MembraneAverage_S22	Component_MembraneAverage_S33	Component_MembraneAverage_S12	Component_MembraneAverage_S13	Component_MembraneAverage_S23	Component_MembranePlusBending_Point1_S11	Component_MembranePlusBending_Point1_S22	Component_MembranePlusBending_Point1_S33	Component_MembranePlusBending_Point1_S12	Component_MembranePlusBending_Point1_S13	Component_MembranePlusBending_Point1_S23	Invariant_MembraneAverage_MaxPrin	Invariant_MembraneAverage_MidPrin	Invariant_MembraneAverage_MinPrin	Invariant_MembraneAverage_TrescaStress	Invariant_MembraneAverage_MisesStress	Invariant_MembranePlusBending_Point1_MaxPrin	Invariant_MembranePlusBending_Point1_MidPrin	Invariant_MembranePlusBending_Point1_MinPrin	Invariant_MembranePlusBending_Point1_TrescaStress	Invariant_MembranePlusBending_Point1_MisesStress
1	17.4901	17.6321	7.25437	-8.61284	4.70804	-1.78358	44.4766	51.2254	32.5427	-25.9498	11.9133	-8.63472	27.2374	10.0194	5.11977	22.1176	20.1203	78.5163	29.3208	20.4075	58.1088	54.2046
2	4.40602	18.3988	1.13634	-2.52789	-0.205382	-1.0436	7.98098	64.5513	20.2575	-3.36042	-0.90392	-4.81372	18.8969	4.01301	1.03118	17.8658	16.5772	65.2524	19.8709	7.66657	57.5858	52.5574
3	5.2603	17.0839	1.40704	-6.16924	-0.495051	-1.13155	12.1517	57.2142	16.5785	-16.2522	1.35954	-2.93084	19.7558	3.09495	0.900525	18.8553	17.8595	62.6871	16.3716	6.88555	55.8016	51.7152
4	4.98893	17.8709	0.871469	-4.33667	0.1496	-1.76284	11.1448	56.8371	13.4627	-12.482	1.67483	-3.39885	19.3567	3.7106	0.663999	18.6927	17.371	60.3179	13.2834	7.84329	52.4746	49.9772
5	4.02279	18.4691	0.695495	-1.96546	0.155225	-2.17944	8.10616	57.9182	12.1203	-4.56933	1.9578	-3.23214	18.9917	3.76552	0.430177	18.5615	17.139	58.5824	12.4462	7.11602	51.4664	49.0191
6	3.83308	22.4693	0.0547411	-1.62107	-0.0212073	-3.11545	6.88413	65.9397	13.2233	-3.25902	-0.0243844	-4.25808	23.0282	3.71318	-0.384262	23.4125	21.6565	66.4584	12.8946	6.69411	59.7643	56.9179
7	4.31561	19.5289	-1.24142	-2.59304	1.8025	-3.09944	8.76281	55.5542	10.7727	-6.80337	0.619463	-4.29261	20.4785	4.15063	-2.02606	22.5046	20.1396	56.9308	10.3652	7.79367	49.1372	47.9032
8	4.40776	18.2534	-2.78033	-0.334637	-0.381693	-3.12005	8.67148	56.7302	10.655	-0.122816	-0.0689298	-3.42226	18.7118	4.42609	-3.25705	21.9688	19.3099	56.9833	10.4057	8.6677	48.3156	47.4705
9	5.34922	19.1564	-3.23799	-3.64943	-0.286451	-3.23149	10.837	58.7837	11.2111	-8.29197	0.422613	-3.57874	20.4599	4.57639	-3.76862	24.2285	21.3184	60.4404	10.9683	9.42318	51.0172	50.2625
10	1.72607	19.4628	-2.22809	-1.29482	-3.2134	-2.71236	5.27952	51.3979	7.20744	-2.68021	-1.63588	-3.43082	19.842	3.51972	-4.40097	24.243	21.4112	51.8023	8.08519	3.99739	47.8049	45.8977
